route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
337,1,"337","ISLINGTON",,700,,0054A6,FFFFFF
339,1,"339","FINCH EAST",,700,,0054A6,FFFFFF
34,1,"34","EGLINTON EAST",,700,,ED1C24,FFFFFF
340,1,"340","JUNCTION",,700,,0054A6,FFFFFF
341,1,"341","KEELE",,700,,0054A6,FFFFFF
343,1,"343","KENNEDY",,700,,0054A6,FFFFFF
35,1,"35","JANE",,700,,ED1C24,FFFFFF
352,1,"352","LAWRENCE WEST",,700,,0054A6,FFFFFF
353,1,"353","STEELES",,700,,0054A6,FFFFFF
354,1,"354","LAWRENCE EAST",,700,,0054A6,FFFFFF
36,1,"36","FINCH WEST",,700,,ED1C24,FFFFFF
363,1,"363","OSSINGTON",,700,,0054A6,FFFFFF
365,1,"365","PARLIAMENT",,700,,0054A6,FFFFFF
37,1,"37","ISLINGTON",,700,,ED1C24,FFFFFF
38,1,"38","HIGHLAND CREEK",,700,,ED1C24,FFFFFF
384,1,"384","SHEPPARD WEST",,700,,0054A6,FFFFFF
385,1,"385","SHEPPARD EAST",,700,,0054A6,FFFFFF
39,1,"39","FINCH EAST",,700,,ED1C24,FFFFFF
395,1,"395","YORK MILLS",,700,,0054A6,FFFFFF
396,1,"396","WILSON",,700,,0054A6,FFFFFF
40,1,"40","JUNCTION-DUNDAS WEST",,700,,ED1C24,FFFFFF
41,1,"41","KEELE",,700,,ED1C24,FFFFFF
42,1,"42","CUMMER",,700,,ED1C24,FFFFFF
43,1,"43","KENNEDY",,700,,ED1C24,FFFFFF
44,1,"44","KIPLING SOUTH",,700,,ED1C24,FFFFFF
45,1,"45","KIPLING",,700,,ED1C24,FFFFFF
46,1,"46","MARTIN GROVE",,700,,ED1C24,FFFFFF
47,1,"47","LANSDOWNE",,700,,ED1C24,FFFFFF
48,1,"48","RATHBURN",,700,,ED1C24,FFFFFF
49,1,"49","BLOOR WEST",,700,,ED1C24,FFFFFF
50,1,"50","BURNHAMTHORPE",,700,,ED1C24,FFFFFF
501,1,"501","QUEEN",,900,,ED1C24,FFFFFF
503,1,"503","KINGSTON RD",,900,,ED1C24,FFFFFF
504,1,"504","KING",,900,,ED1C24,FFFFFF
505,1,"505","DUNDAS",,900,,ED1C24,FFFFFF
506,1,"506","CARLTON",,900,,ED1C24,FFFFFF
507,1,"507","LONG BRANCH",,900,,ED1C24,FFFFFF
508,1,"508","LAKE SHORE",,900,,ED1C24,FFFFFF
509,1,"509","HARBOURFRONT",,900,,ED1C24,FFFFFF
51,1,"51","LESLIE",,700,,ED1C24,FFFFFF
510,1,"510","SPADINA",,900,,ED1C24,FFFFFF
511,1,"511","BATHURST",,900,,ED1C24,FFFFFF
512,1,"512","ST CLAIR",,900,,ED1C24,FFFFFF
52,1,"52","LAWRENCE WEST",,700,,ED1C24,FFFFFF
53,1,"53","STEELES EAST",,700,,ED1C24,FFFFFF
54,1,"54","LAWRENCE EAST",,700,,ED1C24,FFFFFF
55,1,"55","WARREN PARK",,700,,ED1C24,FFFFFF
56,1,"56","LEASIDE",,700,,ED1C24,FFFFFF
57,1,"57","MIDLAND",,700,,ED1C24,FFFFFF
59,1,"59","MAPLE LEAF",,700,,ED1C24,FFFFFF
60,1,"60","STEELES WEST",,700,,ED1C24,FFFFFF
61,1,"61","AVENUE RD NORTH",,700,,ED1C24,FFFFFF
62,1,"62","MORTIMER",,700,,ED1C24,FFFFFF
63,1,"63","OSSINGTON",,700,,ED1C24,FFFFFF
64,1,"64","MAIN",,700,,ED1C24,FFFFFF
65,1,"65","PARLIAMENT",,700,,ED1C24,FFFFFF
66,1,"66","PRINCE EDWARD",,700,,ED1C24,FFFFFF
67,1,"67","PHARMACY",,700,,ED1C24,FFFFFF
68,1,"68","WARDEN",,700,,ED1C24,FFFFFF
69,1,"69","WARDEN SOUTH",,700,,ED1C24,FFFFFF
7,1,"7","BATHURST",,700,,ED1C24,FFFFFF
70,1,"70","O'CONNOR",,700,,ED1C24,FFFFFF
71,1,"71","RUNNYMEDE",,700,,ED1C24,FFFFFF
72,1,"72","PAPE",,700,,ED1C24,FFFFFF
73,1,"73","ROYAL YORK",,700,,ED1C24,FFFFFF
74,1,"74","MOUNT PLEASANT",,700,,ED1C24,FFFFFF
75,1,"75","SHERBOURNE",,700,,ED1C24,FFFFFF
76,1,"76","ROYAL YORK SOUTH",,700,,ED1C24,FFFFFF
77,1,"77","SWANSEA",,700,,ED1C24,FFFFFF
78,1,"78","ST ANDREWS",,700,,ED1C24,FFFFFF
79,1,"79","SCARLETT RD",,700,,ED1C24,FFFFFF
8,1,"8","BROADVIEW",,700,,ED1C24,FFFFFF
80,1,"80","QUEENSWAY",,700,,ED1C24,FFFFFF
82,1,"82","ROSEDALE",,700,,ED1C24,FFFFFF
83,1,"83","JONES",,700,,ED1C24,FFFFFF
84,1,"84","SHEPPARD WEST",,700,,ED1C24,FFFFFF
85,1,"85","SHEPPARD EAST",,700,,ED1C24,FFFFFF
86,1,"86","SCARBOROUGH",,700,,ED1C24,FFFFFF
87,1,"87","COSBURN",,700,,ED1C24,FFFFFF
88,1,"88","SOUTH LEASIDE",,700,,ED1C24,FFFFFF
882,1,"882","OPERATOR SHUTTLES",,900,,808000,FFFFFF
89,1,"89","WESTON",,700,,ED1C24,FFFFFF
9,1,"9","BELLAMY",,700,,ED1C24,FFFFFF
90,1,"90","VAUGHAN",,700,,ED1C24,FFFFFF
900,1,"900","AIRPORT EXPRESS",,700,,00A651,FFFFFF
902,1,"902","MARKHAM RD EXPRESS",,700,,00A651,FFFFFF
903,1,"903","KENNEDY STN-SCARBOROUGH EXPRESS",,700,,00A651,FFFFFF
904,1,"904","SHEPPARD-KENNEDY EXPRESS",,700,,00A651,FFFFFF
905,1,"905","EGLINTON EAST EXPRESS",,700,,00A651,FFFFFF
91,1,"91","WOODBINE",,700,,ED1C24,FFFFFF
92,1,"92","WOODBINE SOUTH",,700,,ED1C24,FFFFFF
924,1,"924","VICTORIA PARK EXPRESS",,700,,00A651,FFFFFF
925,1,"925","DON MILLS EXPRESS",,700,,00A651,FFFFFF
927,1,"927","HIGHWAY 27 EXPRESS",,700,,00A651,FFFFFF
929,1,"929","DUFFERIN EXPRESS",,700,,00A651,FFFFFF
93,1,"93","PARKVIEW HILLS",,700,,ED1C24,FFFFFF
935,1,"935","JANE EXPRESS",,700,,00A651,FFFFFF
937,1,"937","ISLINGTON EXPRESS",,700,,00A651,FFFFFF
938,1,"938","HIGHLAND CREEK EXPRESS",,700,,00A651,FFFFFF
939,1,"939","FINCH EXPRESS",,700,,00A651,FFFFFF
94,1,"94","WELLESLEY",,700,,ED1C24,FFFFFF
941,1,"941","KEELE EXPRESS",,700,,00A651,FFFFFF
944,1,"944","KIPLING SOUTH EXPRESS",,700,,00A651,FFFFFF
945,1,"945","KIPLING EXPRESS",,700,,00A651,FFFFFF
95,1,"95","YORK MILLS",,700,,ED1C24,FFFFFF
952,1,"952","LAWRENCE WEST EXPRESS",,700,,00A651,FFFFFF
953,1,"953","STEELES EAST EXPRESS",,700,,00A651,FFFFFF
954,1,"954","LAWRENCE EAST EXPRESS",,700,,00A651,FFFFFF
96,1,"96","WILSON",,700,,ED1C24,FFFFFF
960,1,"960","STEELES WEST EXPRESS",,700,,00A651,FFFFFF
968,1,"968","WARDEN EXPRESS",,700,,00A651,FFFFFF
97,1,"97","YONGE",,700,,ED1C24,FFFFFF
98,1,"98","WILLOWDALE-SENLAC",,700,,ED1C24,FFFFFF
984,1,"984","SHEPPARD WEST EXPRESS",,700,,00A651,FFFFFF
985,1,"985","SHEPPARD EAST EXPRESS",,700,,00A651,FFFFFF
986,1,"986","SCARBOROUGH EXPRESS",,700,,00A651,FFFFFF
989,1,"989","WESTON EXPRESS",,700,,00A651,FFFFFF
99,1,"99","ARROW RD",,700,,ED1C24,FFFFFF
995,1,"995","YORK MILLS EXPRESS",,700,,00A651,FFFFFF
996,1,"996","WILSON EXPRESS",,700,,00A651,FFFFFF
1,1,"1","LINE 1 (YONGE-UNIVERSITY)",,400,,D5C82B,000000
2,1,"2","LINE 2 (BLOOR - DANFORTH)",,400,,008000,FFFFFF
4,1,"4","LINE 4 (SHEPPARD)",,400,,B300B3,FFFFFF
400,1,"400","LAWRENCE MANOR",,700,,6D6E71,FFFFFF
402,1,"402","PARKDALE",,700,,6D6E71,FFFFFF
403,1,"403","SOUTH DON MILLS",,700,,6D6E71,FFFFFF
404,1,"404","EAST YORK",,700,,6D6E71,FFFFFF
405,1,"405","ETOBICOKE",,700,,6D6E71,FFFFFF
406,1,"406","SCARBOROUGH-GUILDWOOD",,700,,6D6E71,FFFFFF
